               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.036026,            0.030265,           0.0020669,             0.47397,             0.54988,             0.56095,             0.23997,            0.047118,            0.016758,           0.0015786,           0.0093268,           0.0093268,           0.0093268
                  36,            0.035784,            0.030152,           0.0019203,             0.62104,             0.68789,              0.7027,             0.38305,            0.035757,            0.013503,           0.0007925,            0.009307,            0.009307,            0.009307
                  37,            0.035504,            0.030487,           0.0021791,             0.67804,             0.65649,             0.74744,             0.41812,            0.035402,            0.013054,          0.00089149,           0.0092872,           0.0092872,           0.0092872
                  38,            0.035998,            0.030627,           0.0023356,             0.58133,             0.75477,             0.75376,             0.38899,            0.036159,            0.012764,           0.0007596,           0.0092674,           0.0092674,           0.0092674
                  39,            0.035895,            0.030798,           0.0027473,             0.73693,             0.73603,             0.72793,              0.3872,            0.035187,              0.0138,          0.00090108,           0.0092476,           0.0092476,           0.0092476
                  40,            0.035623,            0.030411,           0.0019724,              0.4769,              0.5057,             0.53793,             0.24223,            0.039932,            0.014216,           0.0012002,           0.0092278,           0.0092278,           0.0092278
                  41,            0.035755,            0.031274,           0.0022656,              0.6558,             0.72295,             0.73737,             0.39921,            0.032515,            0.013174,          0.00067649,            0.009208,            0.009208,            0.009208
                  42,            0.035406,            0.029642,           0.0017711,             0.74361,             0.62759,             0.71435,             0.37473,            0.033382,            0.013662,          0.00069265,           0.0091882,           0.0091882,           0.0091882
                  43,            0.035024,            0.030629,            0.002485,             0.67565,             0.72755,             0.80776,             0.41466,            0.034904,            0.013023,          0.00063729,           0.0091684,           0.0091684,           0.0091684
                  44,            0.034642,            0.029747,           0.0020573,             0.70853,             0.65541,             0.67411,             0.34935,            0.035998,            0.013916,          0.00063179,           0.0091486,           0.0091486,           0.0091486
                  45,            0.034568,            0.030393,           0.0019404,             0.66384,             0.80628,             0.77596,             0.35631,            0.035541,            0.013052,          0.00058765,           0.0091288,           0.0091288,           0.0091288
                  46,            0.034438,            0.030625,           0.0014333,             0.63943,             0.83505,             0.75837,             0.41994,            0.034087,            0.013013,          0.00049539,            0.009109,            0.009109,            0.009109
                  47,            0.034016,            0.029751,           0.0017664,             0.51493,             0.62012,             0.58826,             0.28291,            0.038985,            0.015568,           0.0021701,           0.0090892,           0.0090892,           0.0090892
                  48,            0.033794,            0.029637,           0.0016902,              0.6051,             0.73035,             0.72895,             0.33597,            0.033837,            0.014383,          0.00056205,           0.0090694,           0.0090694,           0.0090694
                  49,            0.034331,            0.030038,           0.0015446,             0.63765,             0.81024,             0.83608,             0.38155,            0.033373,            0.012949,          0.00049188,           0.0090496,           0.0090496,           0.0090496
                  50,            0.034079,            0.030353,           0.0019708,             0.66132,             0.69034,             0.71806,             0.37895,            0.033345,            0.013865,           0.0013357,           0.0090298,           0.0090298,           0.0090298
                  51,            0.034314,            0.030495,           0.0018543,             0.70142,             0.72803,             0.77477,             0.41646,            0.032799,            0.012616,          0.00076547,             0.00901,             0.00901,             0.00901
                  52,            0.034048,            0.029625,           0.0016389,             0.69042,             0.78519,             0.82363,              0.4037,            0.036617,            0.013307,          0.00051398,           0.0089902,           0.0089902,           0.0089902
                  53,            0.033473,            0.029685,           0.0014839,             0.58762,             0.76632,             0.71485,             0.42155,            0.034013,            0.013442,          0.00052385,           0.0089704,           0.0089704,           0.0089704
                  54,            0.033901,            0.030076,           0.0014584,             0.60475,             0.76418,             0.72032,              0.3885,            0.033404,            0.014529,          0.00062685,           0.0089506,           0.0089506,           0.0089506
                  55,            0.033795,            0.029532,           0.0015744,             0.71677,             0.66923,             0.78088,             0.40225,            0.036981,            0.014579,          0.00068893,           0.0089308,           0.0089308,           0.0089308
                  56,            0.033639,            0.029599,           0.0018205,             0.66009,             0.64493,             0.69235,             0.36213,            0.036637,            0.014249,           0.0014616,            0.008911,            0.008911,            0.008911
                  57,             0.03444,            0.029085,           0.0017211,             0.65127,             0.70167,             0.73264,              0.3808,            0.034973,            0.013647,          0.00055704,           0.0088912,           0.0088912,           0.0088912
                  58,            0.033847,            0.030052,            0.001671,             0.77198,             0.60115,             0.69237,             0.38323,            0.034612,            0.014165,          0.00059567,           0.0088714,           0.0088714,           0.0088714
                  59,              0.0332,            0.029523,           0.0019409,             0.69487,              0.7466,             0.73451,             0.37773,            0.038202,            0.013429,          0.00062971,           0.0088516,           0.0088516,           0.0088516
                  60,            0.033349,            0.029366,           0.0015791,              0.6806,              0.6709,             0.66911,             0.38489,            0.032688,            0.013987,           0.0003979,           0.0088318,           0.0088318,           0.0088318
                  61,            0.032793,            0.029825,           0.0013797,             0.66001,             0.65387,             0.71703,             0.41944,            0.032909,            0.013287,          0.00052285,            0.008812,            0.008812,            0.008812
                  62,            0.033384,            0.029943,           0.0016384,             0.56367,             0.76385,              0.6966,              0.3897,            0.033667,             0.01409,          0.00047193,           0.0087922,           0.0087922,           0.0087922
                  63,            0.033303,             0.02925,           0.0016595,             0.71433,             0.71255,             0.74255,             0.38587,            0.038976,            0.015121,          0.00077291,           0.0087724,           0.0087724,           0.0087724
                  64,            0.033222,             0.02978,           0.0014337,             0.60815,             0.72559,             0.70603,             0.31777,             0.03544,            0.013947,          0.00041957,           0.0087526,           0.0087526,           0.0087526
                  65,            0.032667,            0.029172,           0.0015391,             0.57956,             0.74319,             0.71107,             0.38371,            0.036101,            0.013007,          0.00051055,           0.0087328,           0.0087328,           0.0087328
                  66,            0.032808,            0.028879,           0.0014087,             0.80566,             0.66409,             0.74742,             0.42638,            0.035773,            0.014345,          0.00051312,            0.008713,            0.008713,            0.008713
                  67,            0.032694,            0.029116,            0.001509,             0.69883,             0.82429,             0.76794,             0.39552,            0.039053,            0.013918,          0.00039346,           0.0086932,           0.0086932,           0.0086932
                  68,            0.032948,            0.028749,           0.0014332,             0.55742,             0.66157,             0.66683,             0.32218,            0.036089,            0.015017,          0.00048051,           0.0086734,           0.0086734,           0.0086734
                  69,            0.032738,            0.029393,           0.0015731,              0.6439,             0.72255,             0.67411,             0.36388,            0.035696,            0.014339,          0.00057235,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032484,            0.028806,           0.0011587,             0.77661,             0.77827,             0.80909,             0.42706,            0.037722,            0.013309,          0.00048401,           0.0086338,           0.0086338,           0.0086338
                  71,            0.032966,            0.029038,            0.001774,             0.72825,             0.66938,             0.74954,             0.40915,            0.036506,            0.014726,          0.00050297,            0.008614,            0.008614,            0.008614
                  72,             0.03266,            0.028501,           0.0015745,             0.54539,             0.58308,              0.6038,             0.25728,            0.038677,            0.014975,           0.0004853,           0.0085942,           0.0085942,           0.0085942
                  73,            0.032711,             0.02817,           0.0014891,             0.65834,             0.72123,             0.74428,             0.42256,            0.034694,            0.013761,          0.00048895,           0.0085744,           0.0085744,           0.0085744
                  74,            0.032581,            0.029059,           0.0014101,             0.67323,             0.73461,             0.74871,             0.41467,            0.036199,            0.013805,           0.0004921,           0.0085546,           0.0085546,           0.0085546
                  75,             0.03251,            0.028396,           0.0016531,             0.71953,             0.78173,             0.79042,             0.44521,            0.034043,            0.013862,          0.00051985,           0.0085348,           0.0085348,           0.0085348
                  76,            0.032192,             0.02885,            0.001127,             0.69791,             0.74575,             0.76608,             0.39494,            0.035302,            0.013814,          0.00053058,            0.008515,            0.008515,            0.008515
                  77,            0.032041,            0.029069,           0.0012128,             0.62838,             0.80165,             0.75925,             0.41831,              0.0337,            0.013928,            0.000475,           0.0084952,           0.0084952,           0.0084952
                  78,            0.032188,            0.028173,           0.0012579,              0.6764,             0.75135,             0.77277,             0.40291,            0.035436,            0.014711,          0.00063064,           0.0084754,           0.0084754,           0.0084754
                  79,            0.031584,            0.028228,           0.0016034,             0.82419,             0.71303,             0.79969,             0.45234,            0.036911,            0.014349,          0.00057878,           0.0084556,           0.0084556,           0.0084556
                  80,            0.032148,            0.028146,           0.0014023,             0.67281,             0.78444,             0.77436,             0.38306,            0.037595,            0.014401,          0.00048001,           0.0084358,           0.0084358,           0.0084358
                  81,            0.031875,            0.027717,           0.0015125,             0.54857,             0.70427,             0.66562,             0.33136,            0.038013,            0.015121,          0.00059023,            0.008416,            0.008416,            0.008416
                  82,             0.03206,            0.028732,           0.0016789,             0.65456,             0.70081,             0.70408,             0.38176,            0.035154,            0.014988,           0.0004195,           0.0083962,           0.0083962,           0.0083962
                  83,            0.032107,            0.028191,           0.0013657,             0.50624,             0.67118,              0.5794,             0.29288,            0.038542,             0.01467,          0.00046892,           0.0083764,           0.0083764,           0.0083764
                  84,             0.03226,            0.028352,           0.0014498,             0.62922,             0.69742,             0.68846,             0.37376,            0.035448,            0.013747,          0.00045984,           0.0083566,           0.0083566,           0.0083566
                  85,            0.031805,            0.027693,           0.0012464,             0.82476,             0.76656,             0.80639,              0.4423,            0.036488,            0.013858,          0.00044804,           0.0083368,           0.0083368,           0.0083368
                  86,            0.032181,            0.028226,            0.001319,             0.77482,             0.63705,             0.70251,             0.31817,            0.040654,             0.01395,          0.00054674,            0.008317,            0.008317,            0.008317
                  87,            0.031931,            0.028315,           0.0015221,              0.5653,             0.77765,             0.70487,             0.35935,            0.037066,            0.014827,          0.00065181,           0.0082972,           0.0082972,           0.0082972
                  88,            0.031624,            0.027639,           0.0016191,             0.61712,             0.74447,             0.72081,             0.35806,            0.039319,            0.013545,          0.00049603,           0.0082774,           0.0082774,           0.0082774
                  89,            0.032433,            0.028534,           0.0016159,             0.58425,             0.76283,             0.66929,             0.37264,            0.035043,            0.015493,          0.00049789,           0.0082576,           0.0082576,           0.0082576
                  90,            0.031633,            0.027375,            0.001469,             0.69152,             0.67001,             0.68892,             0.34451,            0.036319,            0.016225,          0.00057721,           0.0082378,           0.0082378,           0.0082378
                  91,            0.031393,            0.028654,           0.0014211,             0.66208,             0.74866,             0.75375,             0.38284,            0.037184,            0.014736,          0.00061505,            0.008218,            0.008218,            0.008218
                  92,             0.03157,            0.028884,            0.001448,             0.61743,             0.71674,              0.7157,             0.42112,            0.033838,             0.01472,          0.00047593,           0.0081982,           0.0081982,           0.0081982
                  93,            0.031285,            0.028246,           0.0011244,             0.71376,             0.70533,             0.73369,             0.38329,            0.034777,            0.013922,          0.00044904,           0.0081784,           0.0081784,           0.0081784
                  94,            0.031193,            0.027254,           0.0012718,             0.65773,             0.80667,             0.76595,              0.4291,            0.033485,            0.014194,          0.00038738,           0.0081586,           0.0081586,           0.0081586
                  95,            0.030957,            0.027347,           0.0014971,             0.69953,             0.77593,             0.72855,             0.38756,            0.036424,            0.014506,           0.0004765,           0.0081388,           0.0081388,           0.0081388
                  96,            0.031068,            0.027602,           0.0010609,             0.52979,              0.7351,             0.66831,             0.35744,            0.037364,            0.014071,          0.00035405,            0.008119,            0.008119,            0.008119
                  97,            0.031085,            0.027454,           0.0012938,             0.72677,             0.74177,             0.73378,             0.42033,            0.033584,            0.014247,          0.00046198,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030907,            0.027164,           0.0013458,             0.65721,             0.69351,             0.70904,              0.3967,             0.03417,            0.014929,          0.00038946,           0.0080794,           0.0080794,           0.0080794
                  99,            0.031343,             0.02765,           0.0013301,             0.70929,             0.69769,              0.7027,             0.39907,            0.034582,             0.01482,          0.00036957,           0.0080596,           0.0080596,           0.0080596
                 100,            0.030733,            0.027454,           0.0012478,             0.62692,             0.78064,              0.7494,              0.4229,            0.036872,            0.014177,           0.0003901,           0.0080398,           0.0080398,           0.0080398
                 101,            0.030888,             0.02779,            0.001401,             0.62055,             0.72922,             0.68531,             0.40259,            0.036043,            0.015128,           0.0005971,             0.00802,             0.00802,             0.00802
                 102,            0.030616,             0.02688,           0.0013856,             0.63077,              0.7683,             0.72319,             0.39512,            0.037084,            0.014847,          0.00075095,           0.0080002,           0.0080002,           0.0080002
                 103,            0.031208,            0.027514,           0.0013628,             0.69902,              0.7623,             0.74794,             0.41003,            0.036388,            0.014606,          0.00043795,           0.0079804,           0.0079804,           0.0079804
                 104,            0.030374,            0.027365,           0.0011834,             0.69201,             0.78394,             0.73806,             0.35884,            0.037296,            0.014838,           0.0004735,           0.0079606,           0.0079606,           0.0079606
